fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
6339,27,8414,22,7649,19,8323,18,8427,12,7324,149,9732,11,7332,9,2090,61,7344,18,5715,16,0,15,72,131,177,178,65,58,55,0.045454545,0.085227273,178,0.398876404,0.601123596,0.039325843,0.016853933,0.016853933,0,0,0.264044944,0.112359551,0.04494382,0.5,0.005617978,0.904494382,0,0.095505618,0,0,0,0.292134831,0.241573034,0.466292135,0,0.938202247,0,0.061797753,0
1445,43,5947,12,8543,11,771,10,2041,10,7324,165,7332,44,7556,2,3646,118,9234,17,9233,16,4,25,86,138,206,211,56,96,59,0.190243902,0,211,0.611374408,0.388625592,0.037914692,0.023696682,0.004739336,0.004739336,0.009478673,0.265402844,0.075829384,0.042654028,0.483412322,0.052132701,0.886255924,0.08056872,0.033175355,0,0,0,0.137440758,0.17535545,0.687203791,0,1,0,0,0
3696,84,1410,31,962,30,4532,20,1206,10,7562,196,7502,3,7556,1,3845,68,3844,53,2370,48,0,31,121,156,193,200,68,70,62,0.152284264,0,200,0.245,0.755,0.065,0.05,0.035,0.015,0.02,0.19,0.125,0.09,0.325,0.085,1,0,0,0,0,0,0.455,0.025,0.52,0,1,0,0,0
2361,19,4273,13,6092,11,3944,10,5349,7,7380,79,7332,35,7378,22,4670,75,4648,14,1035,14,1,19,61,109,154,157,58,63,36,0,0.019230769,157,0.464968153,0.535031847,0.057324841,0.012738854,0.031847134,0.01910828,0.006369427,0.312101911,0.178343949,0.089171975,0.267515924,0.025477707,1,0,0,0,0,0,0.152866242,0.445859873,0.401273885,0,1,0,0,0
6127,11,4356,5,3744,2,5087,2,3886,2,7332,13,7136,13,7254,1,9151,10,6056,8,5088,4,0,2,9,17,23,27,16,8,3,0.04,0.5,27,0.62962963,0.37037037,0.037037037,0.037037037,0.037037037,0,0,0.148148148,0.148148148,0.074074074,0.074074074,0.444444444,1,0,0,0,0,0,0.407407407,0.481481481,0.111111111,0,1,0,0,0
4832,22,6875,21,5928,18,7439,15,8044,15,7332,216,7334,82,7324,51,1160,93,1159,73,292,66,0,14,159,282,345,352,97,118,137,0.029154519,0,352,0.258522727,0.741477273,0.065340909,0.045454545,0.019886364,0.022727273,0.008522727,0.292613636,0.147727273,0.096590909,0.255681818,0.045454545,0.994318182,0,0.005681818,0,0,0,0.335227273,0.230113636,0.434659091,0,1,0,0,0
5990,18,6420,13,5220,12,5092,11,6031,10,4784,84,4842,39,6816,7,7533,74,824,10,4215,8,0,8,58,103,133,143,36,46,61,0.62962963,0.077464789,143,1,0,0.034965035,0.055944056,0.013986014,0.027972028,0.013986014,0.321678322,0.167832168,0.090909091,0.258741259,0.013986014,0.363636364,0,0.636363636,0,0,0,0.125874126,0.188811189,0.685314685,0,0,0,1,0
949,41,9942,11,8065,8,3625,5,8968,4,7380,68,7334,13,7324,10,7614,54,7615,8,7616,6,0,6,37,59,89,93,31,36,26,0.022222222,0,93,0.462365591,0.537634409,0.043010753,0.021505376,0.032258065,0.032258065,0.010752688,0.193548387,0.053763441,0.075268817,0.430107527,0.107526882,0.989247312,0,0.010752688,0,0,0,0.053763441,0.043010753,0.903225806,0,1,0,0,0
7049,22,9472,13,5751,11,8797,10,1582,9,7324,287,7378,7,7332,6,8874,143,8873,63,3677,29,8,19,113,201,279,300,106,103,91,0.010169492,0,300,0.496666667,0.503333333,0.026666667,0.023333333,0.01,0.013333333,0.013333333,0.246666667,0.106666667,0.083333333,0.42,0.056666667,0.993333333,0,0.006666667,0,0,0,0.34,0.256666667,0.396666667,0.006666667,1,0,0,0
361,23,191,23,837,22,9694,18,3383,7,7562,122,0,0,0,0,507,77,9579,40,3781,3,0,8,51,82,113,122,23,52,47,0,0,122,0.401639344,0.598360656,0.016393443,0,0,0,0,0.213114754,0.06557377,0.016393443,0.68852459,0,1,0,0,0,0,0,0.237704918,0.590163934,0.172131148,0,1,0,0,0
7533,8,2484,6,5419,6,8275,5,5531,3,7562,34,0,0,0,0,4494,17,291,8,5671,5,0,8,20,31,34,34,11,7,16,0.03125,0,34,0.5,0.5,0,0.058823529,0.029411765,0,0.029411765,0.382352941,0.117647059,0.029411765,0.352941176,0,1,0,0,0,0,0,0.088235294,0.294117647,0.617647059,0,1,0,0,0
9055,8,7256,7,9149,5,9334,4,4346,4,7554,93,7558,3,7556,2,5162,49,1899,18,5161,13,0,13,49,79,99,99,37,39,23,0,0,99,0.202020202,0.797979798,0.03030303,0.03030303,0.03030303,0.04040404,0.01010101,0.232323232,0.121212121,0.090909091,0.404040404,0.01010101,1,0,0,0,0,0,0.111111111,0.343434343,0.545454545,0,1,0,0,0
3913,23,8462,22,8914,15,4203,5,3305,3,7334,92,7324,4,7380,4,6490,44,1823,10,8215,8,8,10,29,64,102,103,34,34,35,0.101010101,0,103,0.368932039,0.631067961,0.087378641,0.029126214,0.029126214,0.009708738,0.038834951,0.174757282,0.116504854,0.067961165,0.40776699,0.038834951,0.941747573,0.058252427,0,0,0,0,0.330097087,0.359223301,0.300970874,0.009708738,1,0,0,0
9498,18,3092,14,3633,10,4241,10,4829,8,7332,173,7324,47,7134,6,3207,115,9361,33,4648,19,1,18,93,177,237,241,77,88,76,0.108695652,0.067226891,241,0.331950207,0.668049793,0.045643154,0.020746888,0.037344398,0.012448133,0.008298755,0.253112033,0.153526971,0.078838174,0.32780083,0.062240664,0.98340249,0.01659751,0,0,0,0,0.232365145,0.265560166,0.456431535,0.045643154,0.98340249,0.01659751,0,0
3878,18,3846,13,9037,8,5919,7,7463,7,7562,86,7556,18,7554,2,2851,58,4001,25,6945,4,0,1,47,79,106,106,35,41,30,0.02970297,0,106,0.396226415,0.603773585,0.018867925,0.009433962,0.018867925,0.009433962,0,0.29245283,0.08490566,0.037735849,0.509433962,0.018867925,0.981132075,0,0.018867925,0,0,0,0.141509434,0.20754717,0.650943396,0,1,0,0,0
7090,68,9397,50,2181,29,5134,26,2093,19,7330,180,7324,104,7332,89,805,105,6770,28,1022,15,0,19,116,219,395,405,132,144,129,0.055137845,0,405,0.474074074,0.525925926,0.056790123,0.034567901,0.022222222,0.012345679,0.004938272,0.27654321,0.150617284,0.081481481,0.313580247,0.04691358,0.977777778,0.022222222,0,0,0,0,0.15308642,0.345679012,0.498765432,0.002469136,1,0,0,0
8662,67,1374,19,2525,15,9361,14,6609,12,7558,296,7556,7,0,0,7531,162,6851,27,7533,17,4,29,164,213,283,303,89,134,80,0.040540541,0,303,0.485148515,0.514851485,0.02310231,0.01980198,0.01650165,0.00990099,0.00660066,0.273927393,0.125412541,0.059405941,0.429042904,0.03630363,0.98349835,0.00660066,0.00990099,0,0,0,0.254125413,0.231023102,0.514851485,0,1,0,0,0
5638,56,7863,34,5486,19,5068,18,6714,15,7332,123,7324,75,7334,50,9728,58,9882,36,6142,10,3,22,119,195,274,298,91,149,58,0.109215017,0.125,298,0.533557047,0.466442953,0.05704698,0.033557047,0.026845638,0.006711409,0.010067114,0.244966443,0.134228188,0.043624161,0.399328859,0.043624161,0.83557047,0.003355705,0.161073826,0,0,0,0.070469799,0.483221477,0.446308725,0,0.865771812,0.003355705,0.130872483,0
