fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
3878,29,2079,11,9037,7,5919,5,3846,4,7562,68,7556,16,7554,1,2851,59,7658,6,6945,6,0,8,43,54,84,85,19,31,35,0,0,85,0.447058824,0.552941176,0.047058824,0.035294118,0.011764706,0.011764706,0,0.2,0.082352941,0.094117647,0.482352941,0.035294118,1,0,0,0,0,0,0.282352941,0.058823529,0.658823529,0,1,0,0,0
7090,40,9397,31,664,25,2181,24,1149,21,7330,184,7332,90,7324,65,805,106,6622,17,2088,16,0,18,81,165,339,347,152,99,96,0.05,0,347,0.455331412,0.544668588,0.043227666,0.023054755,0.017291066,0.023054755,0.014409222,0.296829971,0.172910663,0.054755043,0.331412104,0.023054755,0.976945245,0.023054755,0,0,0,0,0.155619597,0.242074928,0.599423631,0.002881844,1,0,0,0
8662,145,1245,80,4816,44,7773,33,4183,27,7558,507,7554,20,1728,13,7531,187,6851,76,2495,51,17,56,261,316,527,553,165,184,204,0.038251366,0.02173913,553,0.423146474,0.576853526,0.03074141,0.01084991,0.005424955,0.021699819,0.007233273,0.227848101,0.099457505,0.057866184,0.455696203,0.08318264,0.972875226,0.014466546,0.012658228,0,0,0,0.13562387,0.126582278,0.737793852,0,1,0,0,0
5638,62,7863,34,5486,27,3740,20,6118,17,7332,225,7324,78,7334,75,9882,97,9728,54,9729,15,3,29,158,270,405,432,129,165,138,0.040189125,0.103286385,432,0.597222222,0.402777778,0.050925926,0.023148148,0.027777778,0.011574074,0.011574074,0.273148148,0.173611111,0.083333333,0.30787037,0.037037037,0.87962963,0.002314815,0.118055556,0,0,0,0.094907407,0.44212963,0.462962963,0,0.888888889,0.002314815,0.108796296,0
5925,97,6881,28,8275,18,9393,9,3356,6,7562,290,1674,7,7556,3,8774,126,4032,77,8586,43,6,63,199,256,302,303,116,67,120,0.02006689,0.029801325,303,0.435643564,0.564356436,0.00990099,0.00660066,0.00660066,0.00660066,0.00330033,0.234323432,0.056105611,0.02640264,0.643564356,0.00660066,0.99009901,0.00330033,0.00660066,0,0,0,0.082508251,0.151815182,0.765676568,0,1,0,0,0
1393,29,4419,13,185,8,3089,6,3199,4,7380,86,7332,4,7562,3,2933,57,4878,22,2934,5,0,20,68,71,93,93,39,32,22,0.02173913,0,93,0.333333333,0.666666667,0.010752688,0,0,0,0,0.193548387,0.086021505,0.010752688,0.698924731,0,0.978494624,0,0.021505376,0,0,0,0.11827957,0.064516129,0.817204301,0,1,0,0,0
397,7,5516,5,2744,3,9096,3,3109,2,1668,32,1664,1,0,0,17,26,5067,4,5066,2,1,6,17,18,32,33,13,8,12,0,0,33,0.363636364,0.636363636,0.060606061,0,0.03030303,0,0,0.303030303,0.090909091,0.03030303,0.484848485,0,1,0,0,0,0,0,0.03030303,0.090909091,0.878787879,0,1,0,0,0
6485,32,3924,20,4868,12,4862,11,5552,8,7332,346,7324,42,7334,4,2089,172,1428,31,1159,29,0,51,174,258,371,394,121,145,128,0.007712082,0,394,0.426395939,0.573604061,0.045685279,0.027918782,0.02284264,0.012690355,0.002538071,0.28680203,0.124365482,0.076142132,0.373096447,0.027918782,0.997461929,0,0.002538071,0,0,0,0.403553299,0.253807107,0.342639594,0,1,0,0,0
4949,39,4876,11,6828,9,8583,9,4744,8,7554,141,7562,9,7552,5,5589,79,5068,38,5069,11,1,35,68,94,129,156,55,45,56,0,0,156,0.41025641,0.58974359,0.038461538,0.044871795,0.019230769,0.012820513,0.025641026,0.198717949,0.102564103,0.096153846,0.326923077,0.134615385,1,0,0,0,0,0,0.128205128,0.346153846,0.525641026,0,1,0,0,0
1281,35,1742,3,7178,2,9779,2,2482,1,7562,43,7556,2,0,0,8775,22,1282,6,6331,6,0,14,17,31,45,45,16,14,15,0.022727273,0,45,0.044444444,0.955555556,0.022222222,0,0,0,0,0.288888889,0.044444444,0.044444444,0.6,0,1,0,0,0,0,0,0.022222222,0.088888889,0.844444444,0.044444444,1,0,0,0
0,24,5061,12,4019,11,7947,2,8856,2,6396,60,5022,1,0,0,6591,47,8724,5,29,2,0,1,20,35,61,61,20,17,24,0.13559322,0,61,0.540983607,0.459016393,0.016393443,0,0,0,0.016393443,0.180327869,0.098360656,0.032786885,0.62295082,0.032786885,0.442622951,0,0.557377049,0,0,0,0.426229508,0.245901639,0.327868852,0,0,0,1,0
