fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
7433,8,4713,5,5630,4,7964,2,3349,2,948,33,650,1,946,1,2824,31,9224,1,8295,1,0,0,14,28,34,35,9,15,11,0.441176471,0,35,0.542857143,0.457142857,0,0.057142857,0,0,0,0.428571429,0.057142857,0.085714286,0.371428571,0,0.371428571,0,0.628571429,0,0,0,0.285714286,0.028571429,0.685714286,0,0,0,1,0
2422,9,7900,7,8527,6,9988,5,4608,4,7380,58,7378,52,7332,41,4971,55,1035,24,3886,24,0,9,60,114,154,159,38,26,95,0.006329114,0,159,0.320754717,0.679245283,0.044025157,0.031446541,0.025157233,0.012578616,0,0.295597484,0.169811321,0.106918239,0.283018868,0.031446541,1,0,0,0,0,0,0.232704403,0.245283019,0.522012579,0,1,0,0,0
4921,63,7615,53,5869,28,8744,19,2191,9,7378,221,7562,25,7380,6,1035,185,3886,17,5621,14,11,43,102,161,226,261,75,64,122,0,0,261,0.30651341,0.69348659,0.034482759,0.026819923,0.019157088,0.01532567,0.003831418,0.260536398,0.137931034,0.0651341,0.344827586,0.091954023,1,0,0,0,0,0,0.697318008,0.042145594,0.260536398,0,1,0,0,0
1498,37,6467,18,3956,12,269,8,5247,7,7378,73,7332,52,7324,2,3886,34,1035,31,4479,9,0,7,54,87,127,131,37,46,48,0.0078125,0,131,0.595419847,0.404580153,0.007633588,0,0.007633588,0,0,0.328244275,0.076335878,0.053435115,0.511450382,0.015267176,0.992366412,0,0.007633588,0,0,0,0.488549618,0.06870229,0.442748092,0,1,0,0,0
426,61,8357,31,7050,27,9193,27,8742,26,7330,180,7324,168,7334,15,9718,120,9454,38,9455,21,1,45,131,235,356,370,163,62,145,0.104683196,0,370,0.489189189,0.510810811,0.016216216,0.021621622,0.008108108,0.005405405,0.002702703,0.327027027,0.089189189,0.051351351,0.464864865,0.013513514,0.935135135,0,0.064864865,0,0,0,0.181081081,0.486486486,0.332432432,0,1,0,0,0
8361,16,5709,9,4964,5,6118,4,7103,3,3864,58,1106,1,0,0,350,52,7406,3,9987,1,0,6,15,23,53,59,5,34,20,0.5,0,59,0.338983051,0.661016949,0,0.06779661,0.033898305,0.033898305,0,0.13559322,0.13559322,0.101694915,0.322033898,0.169491525,0.186440678,0,0.813559322,0,0,0,0.593220339,0.06779661,0.338983051,0,0,0,1,0
4456,18,2028,14,157,12,4356,11,3820,10,9732,108,7558,86,7380,48,922,60,4409,22,8129,17,0,16,145,256,329,340,205,76,59,0.122324159,0.409090909,340,0.141176471,0.858823529,0.023529412,0.008823529,0.014705882,0.005882353,0,0.323529412,0.167647059,0.041176471,0.408823529,0.005882353,0.591176471,0.070588235,0.338235294,0,0,0,0.229411765,0.176470588,0.594117647,0,0.579411765,0.085294118,0.335294118,0
8085,10,8630,9,846,8,8534,8,400,7,7332,85,7334,3,7380,1,8125,47,135,9,768,5,3,8,45,63,81,89,40,23,26,0.083333333,0,89,0.348314607,0.651685393,0.011235955,0,0,0,0,0.269662921,0.011235955,0.02247191,0.685393258,0,0.97752809,0,0.02247191,0,0,0,0.337078652,0.179775281,0.483146067,0,1,0,0,0
8040,3,246,2,2899,2,3441,1,28,1,7332,15,0,0,0,0,1396,13,1427,1,8128,1,0,1,5,10,15,15,6,2,7,0,0,15,0.2,0.8,0,0,0,0,0,0.533333333,0.066666667,0.066666667,0.333333333,0,1,0,0,0,0,0,0.333333333,0.266666667,0.4,0,1,0,0,0
1422,25,325,6,8964,5,3416,5,9260,4,7562,73,0,0,0,0,4648,69,2610,2,4650,2,1,12,28,51,72,73,29,13,31,0.083333333,0,73,0.191780822,0.808219178,0.02739726,0.04109589,0.02739726,0.01369863,0,0.287671233,0.164383562,0.095890411,0.301369863,0.04109589,1,0,0,0,0,0,0.424657534,0.273972603,0.301369863,0,1,0,0,0
6112,68,5939,61,8613,35,8849,35,6561,34,7332,437,7324,14,7380,13,3340,117,4971,101,2212,22,15,85,219,340,451,476,197,133,146,0,0.014767932,476,0.390756303,0.609243697,0.012605042,0.006302521,0.008403361,0.00210084,0.004201681,0.271008403,0.071428571,0.029411765,0.577731092,0.016806723,1,0,0,0,0,0,0.222689076,0.382352941,0.394957983,0,1,0,0,0
7760,9,2308,9,6402,7,5154,6,9388,5,7332,37,7324,30,3280,17,5528,91,2757,5,2089,5,1,6,34,84,118,122,63,26,33,0,0.175,122,0.204918033,0.795081967,0.032786885,0.073770492,0.008196721,0.008196721,0.024590164,0.286885246,0.131147541,0.155737705,0.245901639,0.032786885,0.959016393,0.032786885,0.008196721,0,0,0,0.278688525,0.229508197,0.491803279,0,0.983606557,0.016393443,0,0
9042,11,6038,9,6730,7,6104,6,9339,4,7332,51,1230,5,7562,1,7562,42,5839,6,6113,3,0,3,19,38,54,57,19,23,15,0.2,0.071428571,57,0.49122807,0.50877193,0.035087719,0.052631579,0,0.052631579,0,0.157894737,0.228070175,0.070175439,0.192982456,0.210526316,0.824561404,0.157894737,0.01754386,0,0,0,0.280701754,0.01754386,0.701754386,0,0.912280702,0.087719298,0,0
8118,47,8023,8,7220,5,2582,4,2877,4,7562,57,7332,45,9112,1,6458,20,6520,17,5841,17,0,5,36,65,101,104,27,33,44,0.31372549,0.009708738,104,0.509615385,0.490384615,0.057692308,0.105769231,0.009615385,0.028846154,0.009615385,0.192307692,0.134615385,0.067307692,0.336538462,0.057692308,0.980769231,0.019230769,0,0,0,0,0.605769231,0.153846154,0.240384615,0,0.980769231,0.019230769,0,0
